file,entries,collection,status
N/A,0,embed_model,Using embedding model: unknown
N/A,0,LLM,Using embedding model: unknown
ALL,0,ALL,Wiped Chroma store
actions.json,48,grim_actions,Re-indexed (changed)
adventures.json,94,grim_adventures,Re-indexed (changed)
backgrounds.json,142,grim_backgrounds,Re-indexed (changed)
bastions.json,35,grim_bastions,Re-indexed (changed)
books.json,52,grim_books,Re-indexed (changed)
changelog.json,0,grim_changelog,Re-indexed (changed)
charcreationoptions.json,44,grim_charcreationoptions,Re-indexed (changed)
conditionsdiseases.json,30,grim_conditionsdiseases,Re-indexed (changed)
cultsboons.json,30,grim_cultsboons,Re-indexed (changed)
decks.json,34,grim_decks,Re-indexed (changed)
deities.json,551,grim_deities,Re-indexed (changed)
encounters.json,39,grim_encounters,Re-indexed (changed)
feats.json,192,grim_feats,Re-indexed (changed)
items-base.json,193,grim_items-base,Re-indexed (changed)
items.json,2474,grim_items,Re-indexed (changed)
languages.json,169,grim_languages,Re-indexed (changed)
life.json,12,grim_life,Re-indexed (changed)
loot.json,4,grim_loot,Re-indexed (changed)
magicvariants.json,212,grim_magicvariants,Re-indexed (changed)
makebrew-creature.json,232,grim_makebrew-creature,Re-indexed (changed)
makecards.json,12,grim_makecards,Re-indexed (changed)
monsterfeatures.json,25,grim_monsterfeatures,Re-indexed (changed)
msbcr.json,34,grim_msbcr,Re-indexed (changed)
names.json,10,grim_names,Re-indexed (changed)
objects.json,35,grim_objects,Re-indexed (changed)
optionalfeatures.json,209,grim_optionalfeatures,Re-indexed (changed)
psionics.json,52,grim_psionics,Re-indexed (changed)
races.json,145,grim_races,Re-indexed (changed)
recipes.json,241,grim_recipes,Re-indexed (changed)
renderdemo.json,1,grim_renderdemo,Re-indexed (changed)
rewards.json,253,grim_rewards,Re-indexed (changed)
senses.json,8,grim_senses,Re-indexed (changed)
skills.json,36,grim_skills,Re-indexed (changed)
tables.json,14,grim_tables,Re-indexed (changed)
trapshazards.json,37,grim_trapshazards,Re-indexed (changed)
variantrules.json,240,grim_variantrules,Re-indexed (changed)
vehicles.json,36,grim_vehicles,Re-indexed (changed)
adventure\adventure-aitfr-avt.json,7,grim_adventure,Re-indexed (changed)
adventure\adventure-aitfr-dn.json,8,grim_adventure,Re-indexed (changed)
adventure\adventure-aitfr-fcd.json,6,grim_adventure,Re-indexed (changed)
adventure\adventure-aitfr-isf.json,6,grim_adventure,Re-indexed (changed)
adventure\adventure-aitfr-thp.json,5,grim_adventure,Re-indexed (changed)
adventure\adventure-azfyt.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-bgdia.json,18,grim_adventure,Re-indexed (changed)
adventure\adventure-bqgt.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-cm.json,20,grim_adventure,Re-indexed (changed)
adventure\adventure-coa.json,20,grim_adventure,Re-indexed (changed)
adventure\adventure-cos.json,26,grim_adventure,Re-indexed (changed)
adventure\adventure-crcotn.json,15,grim_adventure,Re-indexed (changed)
adventure\adventure-dc.json,12,grim_adventure,Re-indexed (changed)
adventure\adventure-dd.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-dip.json,20,grim_adventure,Re-indexed (changed)
adventure\adventure-ditlcot.json,1,grim_adventure,Re-indexed (changed)
adventure\adventure-dosi.json,8,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-acfas.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-bd.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-bts.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-das.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-dotsc.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-fwtvc.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-sd.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-tdon.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-tfv.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-drde-twoo.json,3,grim_adventure,Re-indexed (changed)
adventure\adventure-dsotdq.json,14,grim_adventure,Re-indexed (changed)
adventure\adventure-efr.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-fs.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-gos.json,12,grim_adventure,Re-indexed (changed)
adventure\adventure-gotsf.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-hbtd.json,5,grim_adventure,Re-indexed (changed)
adventure\adventure-hfstcm.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-hftt.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-hol.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-hotdq.json,15,grim_adventure,Re-indexed (changed)
adventure\adventure-idrotf.json,26,grim_adventure,Re-indexed (changed)
adventure\adventure-imr.json,11,grim_adventure,Re-indexed (changed)
adventure\adventure-jttrc.json,17,grim_adventure,Re-indexed (changed)
adventure\adventure-kftgv.json,15,grim_adventure,Re-indexed (changed)
adventure\adventure-kkw.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-lk.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-llk.json,12,grim_adventure,Re-indexed (changed)
adventure\adventure-lmop.json,8,grim_adventure,Re-indexed (changed)
adventure\adventure-lox.json,6,grim_adventure,Re-indexed (changed)
adventure\adventure-lr.json,5,grim_adventure,Re-indexed (changed)
adventure\adventure-lrdt.json,12,grim_adventure,Re-indexed (changed)
adventure\adventure-mot-nss.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-nrh-ass.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-nrh-at.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-nrh-avitw.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-nrh-awol.json,2,grim_adventure,Re-indexed (changed)
adventure\adventure-nrh-coi.json,2,grim_adventure,Re-indexed (changed)
